datetime	o2_epil	o2_hypo	o2_total	vol_epil	vol_hypo	vol_total
1979-04-02T00:00:00Z	NA	NA	6335828203348.912	NA	NA	501085681.227011
1979-04-03T00:00:00Z	NA	NA	6335813583840.164	NA	NA	501085681.227011
1979-04-04T00:00:00Z	NA	NA	6335799278842.699	NA	NA	501085681.227011
1979-04-05T00:00:00Z	NA	NA	6335786227812.852	NA	NA	501085681.227011
1979-04-06T00:00:00Z	NA	NA	6335775154797.612	NA	NA	501085681.227011
1979-04-07T00:00:00Z	NA	NA	6335762357884.761	NA	NA	501085681.227011
1979-04-08T00:00:00Z	NA	NA	6335750208010.069	NA	NA	501085681.227011
1979-04-09T00:00:00Z	NA	NA	6335738511141.191	NA	NA	501085681.227011
1979-04-10T00:00:00Z	NA	NA	6335726366859.646	NA	NA	501085681.227011
1979-04-11T00:00:00Z	NA	NA	6335717249279.912	NA	NA	501085681.227011
1979-04-12T00:00:00Z	NA	NA	6335709558431.439	NA	NA	501085681.227011
1979-04-13T00:00:00Z	NA	NA	6335699792348.907	NA	NA	501085681.227011
1979-04-14T00:00:00Z	NA	NA	6335690363204.374	NA	NA	501085681.227011
1979-04-15T00:00:00Z	NA	NA	6335681653937.979	NA	NA	501085681.227011
1979-04-16T00:00:00Z	NA	NA	6335670555643.801	NA	NA	501085681.227011
1979-04-17T00:00:00Z	NA	NA	6335658846825.538	NA	NA	501085681.227011
1979-04-18T00:00:00Z	NA	NA	6335648503209.677	NA	NA	501085681.227011
1979-04-19T00:00:00Z	NA	NA	6335639081040.828	NA	NA	501085681.227011
1979-04-20T00:00:00Z	NA	NA	6335631940125.776	NA	NA	501085681.227011
1979-04-21T00:00:00Z	NA	NA	6335623284919.899	NA	NA	501085681.227011
1979-04-22T00:00:00Z	NA	NA	6335613392634.062	NA	NA	501085681.227011
1979-04-23T00:00:00Z	NA	NA	6335186076839.136	NA	NA	501085681.227011
1979-04-24T00:00:00Z	NA	NA	6333608779125.478	NA	NA	501085681.227011
1979-04-25T00:00:00Z	NA	NA	6330420486133.117	NA	NA	501085681.227011
1979-04-26T00:00:00Z	NA	NA	6323691217843.806	NA	NA	501085681.227011
1979-04-27T00:00:00Z	NA	NA	6319222915156.411	NA	NA	501085681.227011
1979-04-28T00:00:00Z	NA	NA	6313971458217.779	NA	NA	501085681.227011
1979-04-29T00:00:00Z	NA	NA	6308520770053.6875	NA	NA	501085681.227011
1979-04-30T00:00:00Z	NA	NA	6302869355844.272	NA	NA	501085681.227011
1979-05-01T00:00:00Z	NA	NA	6295844894438.204	NA	NA	501085681.227011
1979-05-02T00:00:00Z	NA	NA	6287695497073.696	NA	NA	501085681.227011
